HOST,IP,PORT,STATUS,DATE,PING_BEGINS,PING_ENDS
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:45.040, 00:40:45.064
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:46.096, 00:40:46.098
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:47.107, 00:40:47.107
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:48.141, 00:40:48.143
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:49.166, 00:40:49.167
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:50.186, 00:40:50.187
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:51.194, 00:40:51.197
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:52.204, 00:40:52.205
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:53.223, 00:40:53.225
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:54.241, 00:40:54.242
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:55.252, 00:40:55.252
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:56.272, 00:40:56.272
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:40:57.306, 00:40:57.306
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:40:58.340, 00:41:01.355
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:02.370, 00:41:05.381
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:06.391, 00:41:07.919
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:08.924, 00:41:08.925
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:09.934, 00:41:09.935
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:10.947, 00:41:10.947
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:11.973, 00:41:11.975
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:12.994, 00:41:12.996
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:14.009, 00:41:14.010
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:15.042, 00:41:15.060
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:16.075, 00:41:16.075
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:17.096, 00:41:17.096
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:18.120, 00:41:18.123
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:19.143, 00:41:19.144
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:20.164, 00:41:20.169
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:21.188, 00:41:21.191
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:22.211, 00:41:22.216
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:23.238, 00:41:23.243
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:24.268, 00:41:24.271
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:25.289, 00:41:28.311
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:29.326, 00:41:32.338
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:33.355, 00:41:36.383
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:37.398, 00:41:37.399
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:38.415, 00:41:38.416
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:39.431, 00:41:39.432
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:40.441, 00:41:40.441
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:41.454, 00:41:41.456
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:42.462, 00:41:42.463
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:43.469, 00:41:43.470
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:44.508, 00:41:44.508
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:45.515, 00:41:45.522
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:46.541, 00:41:46.542
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:47.546, 00:41:47.546
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:48.579, 00:41:48.579
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:49.610, 00:41:49.612
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:50.663, 00:41:53.688
MicrLoginFlask,127.0.0.1,5000,down,9/11/2022, 00:41:54.695, 00:41:57.724
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:58.735, 00:41:58.737
MicrLoginFlask,127.0.0.1,5000,up,9/11/2022, 00:41:59.759, 00:41:59.759
